id,Nombre del Proyecto,Descripcion,Fecha de inicio,Fecha de Fin,Presupuesto,Estado
1,Plataforma de Gestion Empresarial,Sistema de gestion de recursos empresariales para mejorar la eficiencia operativa,13-10-2023,17-04-2025,42931805.00,Activo
2,Sistema de Planificacion de Recursos,Desarrollo de un sistema avanzado de planificacion de recursos empresariales,17-07-2023,18-05-2025,642055083.00,Cancelado
3,Sistema de Informacion Epidemiologica,Plataforma para el seguimiento y analisis de datos epidemiologicos,14-06-2023,02-02-2024,850312588.00,Activo
4,Red de Transporte Publico,Mejora y ampliacion de la infraestructura de transporte publico,30-03-2023,24-07-2023,937383174.00,Cancelado
5,Royal Guard Tales,La mejor obra de ficcion jamas creada.,06-06-2021,03-02-2030,149912234.00,Activo
6,Laboratorio de Microbiologia,Investigacion y desarrollo en microbiologia aplicada,13-07-2023,07-10-2025,325746996.00,Activo
7,Planificacion de Sucesion,Desarrollo de un sistema para la planificacion de la sucesion en empresas,01-01-2023,20-05-2023,231786436.00,Activo
8,Sistema de Gestion de Documentos,Desarrollo de un sistema para la gestion y archivo de documentos,06-09-2023,19-05-2023,65296214.00,Cancelado
9,Investigacion de Trastornos del Sueño,Estudio y tratamiento de diversos trastornos del suenio,23-05-2023,03-08-2023,555060646.00,Activo
10,Sistema de Incendios Extremo,Desarrollo de un sistema avanzado de prevencion y control de incendios,14-02-2023,03-04-2023,240045465.00,Activo
11,JUAN,salomon,2001-05-15 00:00:00,2003-06-15 00:00:00,126,Activo
12,juan,123,3000-06-15 00:00:00,6000-06-15 00:00:00,55555,Activo
